ID,signup_ym,birth_year,annual_income,marital_status,children,Recency,amount_alcohol,amount_fruit,amount_meat,amount_fish,amount_snack,amount_general,Monetary,num_purchase_web,num_purchase_store,num_purchase_discount,Frequency,promotion_1,promotion_2,promotion_3,promotion_4,promotion_5,promotion_6,revenue
5735,22.May,1999,117829400,미혼,0,29,1502800,156000,1189500,122200,187200,124800,3282500,3,10,1,14,0,0,0,0,1,0,11
5350,22.May,1999,117829400,미혼,0,29,1502800,156000,1189500,122200,187200,124800,3282500,3,10,1,14,0,0,0,0,1,1,11
1763,21.Oct,1996,113982700,배우자 있음,0,62,1636700,223600,1059500,126100,192400,42900,3281200,7,10,1,18,1,0,1,0,1,1,11
4580,22.Jan,1977,98486700,배우자 있음,0,46,1812200,28600,920400,115700,118300,236600,3231800,9,9,1,19,1,0,1,0,1,1,11
4475,21.May,1957,89827400,배우자 있음,0,82,1709500,28600,1014000,188500,0,231400,3172000,7,9,1,17,0,0,0,0,0,0,11
5453,20.Dec,1964,117293800,배우자 있음,0,26,1407900,140400,843700,328900,196300,140400,3057600,4,12,1,17,1,0,0,0,0,0,11
10133,22.May,1978,121927000,미혼,0,16,1692600,88400,950300,115700,148200,58500,3053700,6,12,0,18,1,0,0,1,1,1,11
9010,21.May,1980,108096300,배우자 있음,0,80,1258400,191100,1094600,178100,54600,273000,3049800,5,10,1,16,1,0,1,0,1,1,11
5386,21.May,1961,122699200,배우자 있음,0,62,1444300,31200,1027000,208000,58500,223600,2992600,5,5,0,10,1,0,0,1,1,1,11
6024,21.May,1961,122699200,배우자 있음,0,62,1444300,31200,1027000,208000,58500,223600,2992600,5,5,0,10,1,0,0,1,1,1,11
1553,21.Dec,1954,107454100,배우자 있음,0,71,1255800,218400,873600,319800,136500,163800,2967900,7,10,1,18,1,0,0,1,0,0,11
2147,21.Nov,1977,99648900,배우자 있음,0,91,956800,81900,1229800,284700,245700,163800,2962700,4,11,1,16,1,0,0,0,1,0,11
2186,22.Jun,1985,107023800,배우자 있음,0,30,1219400,184600,980200,206700,105300,237900,2934100,5,6,1,12,1,0,0,1,1,1,11
1173,21.Jun,1955,100921600,배우자 있음,0,73,1560000,136500,985400,0,54600,191100,2927600,4,6,1,11,0,0,0,1,1,1,11
737,21.May,1957,104468000,배우자 있음,0,56,1940900,111800,590200,145600,55900,55900,2900300,4,5,2,11,1,0,0,1,1,0,11
